Time, C, R, AVG
0.029, 1.646008E-07, -1.198567E-06, -5.283431E-07
0.0291, 1.588795E-07, -1.171824E-06, -5.175614E-07
0.0292, 1.40684E-07, -1.145455E-06, -5.131033E-07
0.0293, 1.245525E-07, -1.121001E-06, -5.08604E-07
0.0294, 1.100296E-07, -1.108041E-06, -5.091561E-07
0.0295, 1.052723E-07, -1.106859E-06, -5.108945E-07
0.0296, 9.533981E-08, -1.122359E-06, -5.236571E-07
0.0297, 9.418641E-08, -1.125361E-06, -5.257501E-07
0.0298, 1.087779E-07, -1.121743E-06, -5.167367E-07
0.0299, 1.328005E-07, -1.112407E-06, -5.001802E-07
0.03, 1.342953E-07, -1.109751E-06, -4.980947E-07
0.0301, 1.207889E-07, -1.103762E-06, -5.016911E-07
0.0302, 1.177387E-07, -1.085627E-06, -4.939723E-07
0.0303, 1.33787E-07, -1.063353E-06, -4.747594E-07
0.0304, 1.468229E-07, -1.039942E-06, -4.564492E-07
0.0305, 1.481889E-07, -1.027899E-06, -4.496557E-07
0.0306, 1.511405E-07, -1.019283E-06, -4.438246E-07
0.0307, 1.634704E-07, -1.015708E-06, -4.359455E-07
0.0308, 1.867722E-07, -1.017059E-06, -4.251751E-07
0.0309, 2.141188E-07, -1.030144E-06, -4.183815E-07
0.031, 2.415491E-07, -1.058891E-06, -4.195081E-07
0.0311, 2.68539E-07, -1.102272E-06, -4.2829E-07
0.0312, 2.960749E-07, -1.140178E-06, -4.340204E-07
0.0313, 3.101578E-07, -1.152368E-06, -4.33293E-07
0.0314, 3.012953E-07, -1.13267E-06, -4.276373E-07
0.0315, 2.751097E-07, -1.114228E-06, -4.311367E-07
0.0316, 2.492201E-07, -1.122264E-06, -4.479508E-07
0.0317, 2.430438E-07, -1.148765E-06, -4.64459E-07
0.0318, 2.317305E-07, -1.172976E-06, -4.823288E-07
0.0319, 2.054994E-07, -1.187148E-06, -5.024297E-07
0.032, 1.629621E-07, -1.193988E-06, -5.268208E-07
0.0321, 1.261689E-07, -1.19809E-06, -5.469963E-07
0.0322, 1.072223E-07, -1.197547E-06, -5.560357E-07
0.0323, 9.285856E-08, -1.189357E-06, -5.589344E-07
0.0324, 7.580109E-08, -1.184909E-06, -5.650601E-07
0.0325, 6.309126E-08, -1.196101E-06, -5.769983E-07
0.0326, 5.80681E-08, -1.22534E-06, -5.94331E-07
0.0327, 5.622404E-08, -1.2706E-06, -6.182448E-07
0.0328, 6.707482E-08, -1.311963E-06, -6.33936E-07
0.0329, 8.527027E-08, -1.35952E-06, -6.491647E-07
0.033, 1.062053E-07, -1.393573E-06, -6.56182E-07
0.0331, 1.103557E-07, -1.408398E-06, -6.616773E-07
0.0332, 1.09081E-07, -1.411289E-06, -6.63774E-07
0.0333, 1.020546E-07, -1.415127E-06, -6.691797E-07
0.0334, 9.102964E-08, -1.434943E-06, -6.846731E-07
0.0335, 8.026257E-08, -1.454105E-06, -6.997076E-07
0.0336, 8.22352E-08, -1.464996E-06, -7.042742E-07
0.0337, 9.121164E-08, -1.469583E-06, -7.021923E-07
0.0338, 9.37687E-08, -1.466332E-06, -6.992824E-07
0.0339, 8.766807E-08, -1.463866E-06, -7.010282E-07
