time	8kHz80dB	8kHz70dB	8kHz60dB	8kHz55dB	8kHz50dB	8kHz50dB	8kHz45dB	8kHz45dB	8kHz40dB	8kHz40dB	8kHz35dB	8kHz35dB	8kHz30dB	8kHz30dB
0.00483329	0.312051	0.0735177	0.151474	-0.112376	-0.087902	0.0254974	0.0811862	0.166421	0.0399984	0.11531	0.0738112	-0.214077	0.042899	-0.0242533
0.00487425	0.322059	0.0635959	0.138228	-0.140702	-0.0832485	0.0236222	0.0870872	0.187625	0.0282028	0.119251	0.0776285	-0.266231	0.0278582	0.023585
0.00491521	0.310691	0.0425693	0.103626	-0.171136	-0.0971918	0.00448261	0.0933838	0.189671	0.025334	0.123113	0.0825662	-0.316272	-0.00475748	0.0627008
0.00495617	0.269823	0.0211573	0.0510051	-0.201226	-0.129307	-0.0261293	0.0971236	0.176001	0.029325	0.12525	0.0979615	-0.35641	-0.0393805	0.08318
0.00499713	0.20524	0.0142573	-0.00973624	-0.228614	-0.169434	-0.0626718	0.0937041	0.154636	0.0324401	0.129948	0.124239	-0.3827	-0.0611078	0.0846377
0.00503809	0.134986	0.0292085	-0.066121	-0.251975	-0.202322	-0.10195	0.0812118	0.134439	0.0285096	0.141725	0.149814	-0.394754	-0.0671455	0.0769286
0.00507905	0.0775934	0.0588829	-0.109285	-0.273694	-0.217001	-0.141195	0.0618556	0.122066	0.0177497	0.159589	0.160721	-0.393725	-0.0660881	0.075169
0.00512001	0.0468016	0.0885204	-0.133616	-0.299308	-0.213387	-0.176833	0.0412791	0.120998	0.00498519	0.176099	0.151399	-0.381749	-0.0637569	0.0922343
0.00516097	0.0464348	0.104944	-0.137878	-0.330804	-0.19925	-0.205077	0.0285464	0.130278	-0.00559813	0.182457	0.127215	-0.361481	-0.0555296	0.130947
0.00520193	0.0644629	0.104387	-0.130322	-0.361722	-0.182416	-0.221903	0.0288482	0.145198	-0.0137798	0.175833	0.101683	-0.336426	-0.0340963	0.181857
0.00524289	0.0798608	0.0921569	-0.121688	-0.38404	-0.168403	-0.222644	0.0364199	0.155961	-0.0181444	0.161172	0.0888729	-0.311786	-0.000499719	0.229996
0.00528385	0.0767806	0.0760482	-0.114409	-0.392857	-0.161339	-0.205935	0.0374015	0.150277	-0.014509	0.147258	0.0935334	-0.292925	0.0370827	0.263597
0.00532481	0.0560563	0.0614089	-0.102535	-0.387729	-0.165536	-0.180227	0.022867	0.123775	-0.00283927	0.139563	0.111816	-0.280191	0.0670901	0.279141
0.00536577	0.0279326	0.0505078	-0.0815697	-0.374793	-0.185661	-0.158296	-0.00445925	0.0841683	0.0123842	0.135956	0.138428	-0.267916	0.0804769	0.279836
